,city_id,country_id,region_id,province_id,sub_province_id,google_api_level_x,google_id,city_english_name,city_spanish_name,country_english_name,country_spanish_name,lat,lng,geometry,province_id_x
0,1,1,1.0,12.0,,locality,ChIJkWK-FBFsEg0RSFb-HGIY8DQ,Seville,Sevilla,Spain,España,37.3890924,-5.9844589,POINT (-5.9844589 37.3890924),
1,2,1,1.0,13.0,,locality,ChIJfcIyLeb8cQ0Rcg1g0533WJI,Granada,Granada,Spain,España,37.1774605,-3.5984368,POINT (-3.5984368 37.1774605),
2,3,1,1.0,14.0,,locality,ChIJ7wpe-SbfbA0Rw1aEEOjS8U0,Córdoba,Córdoba,Spain,España,37.8881751,-4.7793835,POINT (-4.7793835 37.8881751),
3,4,1,1.0,15.0,,locality,ChIJLSHbT8RZcg0RzzLKyZLcJWA,Malaga,Málaga,Spain,España,36.721261,-4.4212655,POINT (-4.4212655 36.721261),
4,5,1,1.0,15.0,,locality,ChIJ36tNkAnYcg0Rq-y1B7mdbA4,Marbella,Marbella,Spain,España,36.510071,-4.8824474,POINT (-4.8824474 36.510071),
5,6,1,1.0,17.0,,locality,ChIJDyTsJFfSDQ0RADugjP1jBAQ,Cádiz,Cádiz,Spain,España,36.5210142,-6.2804565,POINT (-6.2804565 36.5210142),
6,7,1,2.0,18.0,,locality,ChIJkY5hXt0UWQ0RqImEFfET30k,Zaragoza,Zaragoza,Spain,España,41.6488226,-0.8890853,POINT (-0.8890853 41.6488226),
7,8,1,2.0,10181.0,,locality,ChIJtU3Y0UlEWA0RkUenSob9jSw,Huesca,Huesca,Spain,España,42.131845,-0.4078058,POINT (-0.4078058 42.131845),
8,9,1,2.0,10180.0,,locality,ChIJQ_3w76tzXg0R8BxUrKMSlAI,Teruel,Teruel,Spain,España,40.3456879,-1.1064345,POINT (-1.1064345 40.3456879),
9,10,1,2.0,10181.0,,locality,ChIJ7Ud4duyAVw0R4huavPhhbxk,Jaca,Jaca,Spain,España,42.57171659999999,-0.5470554,POINT (-0.5470554 42.57171659999999),
10,11,1,2.0,10180.0,,locality,ChIJ69XZySDEXQ0R2Fz1W2-yO6c,Albarracín,Albarracín,Spain,España,40.4075581,-1.443876,POINT (-1.443876 40.4075581),
11,12,1,2.0,10181.0,,locality,ChIJFWT7N8j6pxIRwObeTXi6X6g,Aínsa,Aínsa,Spain,España,42.4146941,0.1403811,POINT (0.1403811 42.4146941),
12,13,1,3.0,2214.0,,,ChIJafvGmWS3SQ0RV1v3AXyr8sY,Picos de Europa,Picos de Europa,Spain,España,43.1869684,-4.8712433,POINT (-4.8712433 43.1869684),
13,14,1,3.0,2214.0,,locality,ChIJZxysYJqMNg0RJGJezA5ENDE,Oviedo,Oviedo,Spain,España,43.3622522,-5.8485461,POINT (-5.8485461 43.3622522),
14,15,1,3.0,2214.0,,locality,ChIJv5T0y2Z8Ng0RNjWNBAfSBr0,Gijón,Gijón,Spain,España,43.5322015,-5.6611195,POINT (-5.6611195 43.5322015),
15,16,1,3.0,19.0,,locality,ChIJKWQKFOPqSQ0R77i51HtWsFA,Llanes,Llanes,Spain,España,43.4211483,-4.7562159,POINT (-4.7562159 43.4211483),
16,17,1,5.0,20.0,,locality,ChIJFf5oO_6vUQ0RSUaGlFnFPuQ,San Sebastian - Donostia,San Sebastián - Donostia,Spain,España,43.318334,-1.9812313,POINT (-1.9812313 43.318334),
17,18,1,5.0,21.0,,locality,ChIJuYlLZidOTg0RRaaVHsSsNGU,Bilbao,Bilbao,Spain,España,43.2630126,-2.9349852,POINT (-2.9349852 43.2630126),
18,19,1,1.0,17.0,,locality,ChIJYxw_wveODA0RY4mkKoPy4Cw,Tarifa,Tarifa,Spain,España,36.0143209,-5.6044497,POINT (-5.6044497 36.0143209),
19,20,1,7.0,300033.0,,locality,ChIJce5riq5JSQ0RlrqCFoDcfNI,Santander,Santander,Spain,España,43.4636346,-3.8226402,POINT (-3.8226402 43.4636346),
20,21,1,8.0,23.0,,locality,ChIJ8f21C60Lag0R_q11auhbf8Y,Toledo,Toledo,Spain,España,39.8628316,-4.027323099999999,POINT (-4.027323099999999 39.8628316),
21,22,1,9.0,24.0,,locality,ChIJRXzdx10mPw0Rqqm_C9Dkei8,Salamanca,Salamanca,Spain,España,40.9701039,-5.663539699999999,POINT (-5.663539699999999 40.9701039),
22,23,1,10.0,25.0,,locality,ChIJ5TCOcRaYpBIRCmZHTz37sEQ,Barcelona,Barcelona,Spain,España,41.3873974,2.168568,POINT (2.168568 41.3873974),
23,24,1,10.0,26.0,,locality,ChIJq_3ImCfnuhIRb2oppbZFOK8,Girona,Girona,Spain,España,41.9794005,2.8214264,POINT (2.8214264 41.9794005),
24,25,1,10.0,25.0,,locality,ChIJ-wiyIEeAoxIR-cgHKfvxYXA,Sitges,Sitges,Spain,España,41.2371851,1.805886,POINT (1.805886 41.2371851),
25,26,1,10.0,28.0,,locality,ChIJWfHd09v8oxIRsqOHE6dpBZI,Tarragona,Tarragona,Spain,España,41.1188827,1.2444909,POINT (1.2444909 41.1188827),
26,27,1,10.0,29.0,,locality,ChIJf9M750jgphIRr6pZ0qIu06A,Lleida,Lleida,Spain,España,41.61772209999999,0.6200205999999999,POINT (0.6200205999999999 41.61772209999999),
27,28,1,12.0,31.0,,locality,ChIJp3Hd4kT-Lg0REeOHwIhoFOA,Santiago de Compostela,Santiago de Compostela,Spain,España,42.8768606,-8.5441729,POINT (-8.5441729 42.8768606),
28,29,1,13.0,300043.0,,locality,ChIJgTwKgJcpQg0RaSKMYcHeNsQ,Madrid,Madrid,Spain,España,40.4167754,-3.7037902,POINT (-3.7037902 40.4167754),
29,30,1,14.0,300050.0,,locality,ChIJf4yS1fiBYw0RmqvEOJsSJ9Y,Murcia,Murcia,Spain,España,37.9922399,-1.1306544,POINT (-1.1306544 37.9922399),
30,31,1,15.0,300026.0,,locality,ChIJx2UZo4uSUA0RkC7LMjaQbk4,Pamplona,Pamplona,Spain,España,42.812526,-1.6457745,POINT (-1.6457745 42.812526),
31,32,1,16.0,2230.0,,locality,ChIJsZCzMEGrWg0RcIgWipFSgvk,Logroño,Logroño,Spain,España,42.4627195,-2.4449852,POINT (-2.4449852 42.4627195),
32,33,1,17.0,36.0,,locality,ChIJb7Dv8ExPYA0ROR1_HwFRo7Q,Valencia,Valencia,Spain,España,39.4699075,-0.3762881,POINT (-0.3762881 39.4699075),
33,34,1,17.0,37.0,,locality,ChIJS6udO9o1Yg0R44ELrHKofR0,Alicante,Alicante,Spain,España,38.3459963,-0.4906855,POINT (-0.4906855 38.3459963),
34,35,2,20.0,,,locality,ChIJvxZW35mUkkYRcGL8GG2zAAQ,Tallinn,Tallinn,Estonia,Estonia,59.43696079999999,24.7535746,POINT (24.7535746 59.43696079999999),
35,36,2,26.0,,,locality,ChIJK-mD0dJ1k0YRYGf8GG2zAAQ,Rakvere,Rakvere,Estonia,Estonia,59.34708469999999,26.3593036,POINT (26.3593036 59.34708469999999),
36,37,2,31.0,,,locality,ChIJ9z1d1dg260YREG38GG2zAAQ,Tartu,Tartu,Estonia,Estonia,58.37798299999999,26.7290383,POINT (26.7290383 58.37798299999999),
37,38,2,28.0,,,locality,ChIJoSQnAt787EYRkGn8GG2zAAQ,Pärnu,Pärnu,Estonia,Estonia,58.3916898,24.4952895,POINT (24.4952895 58.3916898),
38,39,3,36.0,65.0,,locality,ChIJdTtmwNpR6UYRwRVZQ87PACY,Turaida,Turaida,Latvia,Letonia,57.180484,24.84046,POINT (24.84046 57.180484),
39,40,3,37.0,84.0,,locality,ChIJj_S43cW070YRU2S-3F19xzU,Sabile,Sabile,Latvia,Letonia,57.047929,22.5681719,POINT (22.5681719 57.047929),
40,41,3,37.0,78.0,,locality,ChIJayhWmYAW8EYR3mTl2yM-esk,Pavilosta,Pavilosta,Latvia,Letonia,56.886652,21.1951809,POINT (21.1951809 56.886652),
41,42,3,37.0,75.0,,locality,ChIJNyEjEHDa70YRN3Zdkx44boQ,Kuldiga,Kuldiga,Latvia,Letonia,56.9688139,21.9615079,POINT (21.9615079 56.9688139),
42,43,3,37.0,72.0,,locality,ChIJqeobHJkC7kYRACPzaM3PAAQ,Kolka,Kolka,Latvia,Letonia,57.74244389999999,22.588184,POINT (22.588184 57.74244389999999),
43,44,4,50.0,,,locality,ChIJ9QhkXPuT3UYRQNzpcIzRAAQ,Vilnius,Vilnius,Lithuania,Lituania,54.6871555,25.2796514,POINT (25.2796514 54.6871555),
44,45,4,42.0,,,locality,ChIJQ9NnsXAi50YRvIs3x-DRS2E,Kaunas,Kaunas,Lithuania,Lituania,54.8985207,23.9035965,POINT (23.9035965 54.8985207),
45,46,4,42.0,,,locality,ChIJ2weGYnTz3UYR2ePvG4j1kP4,Trakai,Trakai,Lithuania,Lituania,54.6379113,24.9346894,POINT (24.9346894 54.6379113),
46,47,4,50.0,,,locality,ChIJ1xRBhUpj50YRMKy6yY7RAAo,Kernave,Kernave,Lithuania,Lituania,54.8867079,24.8545219,POINT (24.8545219 54.8867079),
47,48,4,43.0,,,locality,ChIJi0RH5Prb5EYRoYdtFGe8rIA,Klaipeda,Klaipeda,Lithuania,Lituania,55.70329479999999,21.1442794,POINT (21.1442794 55.70329479999999),
48,49,5,56.0,,,locality,ChIJ88T-r4qwhEYRwPbfnn33tuc,Kuopio,Kuopio,Finland,Finlandia,62.89796999999999,27.6781725,POINT (27.6781725 62.89796999999999),
49,50,5,63.0,,,locality,ChIJXdqTRVXfjkYRwCILHr3j32o,Tampere,Tampere,Finland,Finlandia,61.4977524,23.7609535,POINT (23.7609535 61.4977524),
50,51,5,64.0,,,locality,ChIJUeWxHQx-iUYRjwp5KiNTMrI,Vanha (Old) Rauma,Vanha (Antigua) Rauma,Finland,Finlandia,61.12834290000001,21.51153499999999,POINT (21.51153499999999 61.12834290000001),
51,52,5,68.0,,,locality,ChIJ5Ucs8F_ijEYRQSSK-VVfnjE,Hanko,Hanko,Finland,Finlandia,59.82834889999999,22.9658712,POINT (22.9658712 59.82834889999999),
52,53,5,52.0,,,locality,ChIJkfPSCFNVzEURsK11PNZGAQQ,Inari,Inari,Finland,Finlandia,68.9062035,27.0277551,POINT (27.0277551 68.9062035),
53,54,5,57.0,,,locality,ChIJpR33V3hQmkYRTrxnzUidFa0,Savolinna,Savolinna,Finland,Finlandia,61.8683766,28.8861803,POINT (28.8861803 61.8683766),
54,55,5,68.0,,,locality,ChIJkQYhlscLkkYRY_fiO4S9Ts0,Helsinki,Helsinki,Finland,Finlandia,60.16985569999999,24.938379,POINT (24.938379 60.16985569999999),
55,56,6,72.0,10029.0,,locality,ChIJ0RhONcBEFkcRv4pHdrW2a7Q,Kraków,Cracovia,Poland,Polonia,50.06465009999999,19.9449799,POINT (19.9449799 50.06465009999999),
56,57,6,77.0,10030.0,,locality,ChIJAZ-GmmbMHkcR_NPqiCq-8HI,Warsaw,Varsovia,Poland,Polonia,52.2296756,21.0122287,POINT (21.0122287 52.2296756),
57,58,6,80.0,10031.0,,locality,ChIJb_rUFBxz_UYRjb63Y_H7uZs,Gdańsk,Gedán (Gdańsk),Poland,Polonia,54.35202520000001,18.6466384,POINT (18.6466384 54.35202520000001),
58,59,6,74.0,10032.0,,locality,ChIJv4q11MLpD0cR9eAFwq5WCbc,Wrocław,Breslavia (Wrocław),Poland,Polonia,51.1078852,17.0385376,POINT (17.0385376 51.1078852),
59,60,6,82.0,10033.0,,locality,ChIJYUmCtoFtPEcRbKzUSvcp6fI,Sanok,Sanok,Poland,Polonia,49.55501870000001,22.2060658,POINT (22.2060658 49.55501870000001),
60,61,6,71.0,10034.0,,locality,ChIJGeyU2eE0A0cRxIlqWJpySnQ,Toruń,Toruń,Poland,Polonia,53.0137902,18.5984437,POINT (18.5984437 53.0137902),
61,62,7,86.0,10007.0,,locality,ChIJIz2AXDxTUkYRuGeU5t1-3QQ,Copenhagen,Copenhagen,Denmark,Dinamarca,55.6760968,12.5683371,POINT (12.5683371 55.6760968),
62,63,7,89.0,10006.0,,locality,ChIJKS8BlclfUkYREHdQHcyvAAo,Roskilde,Roskilde,Denmark,Dinamarca,55.64191,12.087845,POINT (12.087845 55.64191),
63,69,11,130.0,171.0,,locality,ChIJV5oQCXzdOkcR4ngjARfFI0I,Lviv,Lviv (Leópolis),Ukraine,Ucrania,49.839683,24.029717,POINT (24.029717 49.839683),
64,70,11,132.0,167.0,,locality,ChIJd7V6-HO4M0cRN1H35EI7rII,Kamyanets-Podilski,Kamyanets-Podilski,Ukraine,Ucrania,48.6967162,26.5825364,POINT (26.5825364 48.6967162),
65,71,11,131.0,164.0,,locality,ChIJ38v0fpXSNkcRAL-HQ7ip4sE,Kolomyya,Kolomyya,Ukraine,Ucrania,48.5304917,25.0412054,POINT (25.0412054 48.5304917),
66,72,11,134.0,173.0,,locality,ChIJQ0yGC4oxxkARbBfyjOKPnxI,Odesa,Odesa,Ukraine,Ucrania,46.482526,30.7233095,POINT (30.7233095 46.482526),
67,73,11,132.0,159.0,,locality,ChIJ17G7ibsN0kARUZkv1IAsMUg,Uman,Uman,Ukraine,Ucrania,48.74939269999999,30.2214499,POINT (30.2214499 48.74939269999999),
68,74,11,133.0,168.0,,locality,ChIJBUVa4U7P1EAR_kYBF9IxSXY,Kyiv (Kiev),Kiev,Ukraine,Ucrania,50.4501,30.5234,POINT (30.5234 50.4501),
69,75,15,170.0,,,locality,ChIJVU6PvNREDhMRi7gR0rluit8,Birgu,Birgu,Malta,Malta,35.8879214,14.522562,POINT (14.522562 35.8879214),
70,76,15,170.0,,,locality,ChIJCR1qEi5bDhMRkNObRMb-uJY,Bormla,Bormla,Malta,Malta,35.8806753,14.5218338,POINT (14.5218338 35.8806753),
71,77,15,170.0,,,locality,ChIJCxjMKSBbDhMRR_tYiIX0Xkg,Fgura,Fgura,Malta,Malta,35.8738269,14.5232901,POINT (14.5232901 35.8738269),
72,78,15,170.0,,,locality,ChIJX79jJcxaDhMRRKPzymaDhS0,Floriana,Floriana,Malta,Malta,35.8923386,14.502904,POINT (14.502904 35.8923386),
73,79,15,170.0,,,locality,ChIJL-VOXdZaDhMR62YIXQL56DU,Senglea,Senglea,Malta,Malta,35.8873041,14.5167371,POINT (14.5167371 35.8873041),
74,80,15,170.0,,,locality,ChIJX0cgbs1EDhMRYL4D3LhBFGc,Kalkara,Kalkara,Malta,Malta,35.8914242,14.5320278,POINT (14.5320278 35.8914242),
