post_id,user_id,place_id,name,latitude,longitude,level,NOM,geo
5791,314,19597,Estació de França,41.3848,2.1854,bus_station,"Sant Pere, Santa Caterina i la Ribera
","41.3848,2.1854"
7729,1211,25820,Grand Hotel Central,41.385,2.17777,spa,"Sant Pere, Santa Caterina i la Ribera
","41.385,2.17777"
7756,1211,25820,Grand Hotel Central,41.385,2.17777,spa,"Sant Pere, Santa Caterina i la Ribera
","41.385,2.17777"
5781,314,19569,Correos,41.3816,2.18132,post_office,"el Barri Gòtic
","41.3816,2.18132"
736,59,2781,"Galeries Maldà, Carrer de la Portaferrissa, Barcelona, Spain",41.3832,2.17334,shopping_mall,"el Barri Gòtic
","41.3832,2.17334"
4361,54,15080,Arxiu Diocesà de Barcelona,41.3838,2.17565,church,"el Barri Gòtic
","41.3838,2.17565"
4362,54,15080,Arxiu Diocesà de Barcelona,41.3838,2.17565,church,"el Barri Gòtic
","41.3838,2.17565"
4363,54,15080,Arxiu Diocesà de Barcelona,41.3838,2.17565,church,"el Barri Gòtic
","41.3838,2.17565"
7890,1776,26412,Chocolat-Box,41.3846,2.17518,store,"el Barri Gòtic
","41.3846,2.17518"
7645,1428,25559,Marsalada Barcelona,41.3859,2.17941,painter,"Sant Pere, Santa Caterina i la Ribera
","41.3859,2.17941"
1010,54,1427,"Universitat de Barcelona, Gran Via de les Corts Catalanes, Barcelona, Spain",41.3867,2.16387,university,"l'Antiga Esquerra de l'Eixample
","41.3867,2.16387"
1046,54,1427,"Universitat de Barcelona, Gran Via de les Corts Catalanes, Barcelona, Spain",41.3867,2.16387,university,"l'Antiga Esquerra de l'Eixample
","41.3867,2.16387"
3529,245,12027,De Cruz Morales,41.3885,2.15452,food,"l'Antiga Esquerra de l'Eixample
","41.3885,2.15452"
1111,54,3789,"Pg. de Gràcia, 26, 08007 Barcelona, Spain",41.3903,2.16779,art_gallery,"la Dreta de l'Eixample
","41.3903,2.16779"
