destination_citivatis_id,civitatis_name,final_name,english_name,city_id
1,Venice,Venice,Venice,213
2,Madrid,Madrid,Madrid,29
3,Prague,Prague,Prague,100054
4,Menorca,Ciutadella,Ciutadella,300078
5,London,London,London,100017
6,Marrakech,Marrakech,Marrakech,900009
7,Dublin,Dublin,Dublin,1297
8,New York,New York City,New York City,100146
9,Las Vegas,Las Vegas,Las Vegas,1200206
12,Valladolid,Valladolid,Valladolid,1342
13,Bangkok,Bangkok,Bangkok,600026
14,Budapest,Budapest,Budapest,281
16,Paris,Paris,Paris,100095
17,Lisbon,Lisbon,Lisbon,100078
18,Dubai,Dubai,Dubai,600032
19,Rome,Rome,Rome,212
20,Florence,Florence,Florence,100047
21,Istanbul,Istanbul,Istanbul,600009
23,Amsterdam,Amsterdam,Amsterdam,100026
24,Tokyo,Tokyo City,Tokyo City,600002
25,Porto,Porto,Porto,100073
26,San Francisco,San Francisco,San Francisco,300007
27,Miami,Miami,Miami,300010
28,Brussels,Brussels,Brussels,300012
29,Vienna,Vienna,Vienna,100085
30,Berlin,Berlin,Berlin,100097
31,Edinburgh,Edinburgh,Edinburgh,100010
32,Fez,Fès,Fès,1035
33,Athens,Athens,Athens,100067
35,Barcelona,Barcelona,Barcelona,23
40,Milan,Milan,Milan,898
42,Beijing,Beijing,Beijing,60148
43,Shanghai,Shanghai,Shanghai,60149
46,Oslo,Oslo,Oslo,1200294
47,Bucharest,Bucharest,Bucharest,1200313
48,Buenos Aires,Buenos Aires,Buenos Aires,100123
49,Ibiza,Ibiza,,
50,Munich,Munich,Munich,224
51,Bruges,Bruges,Bruges,1200152
52,Granada,Granada,Granada,2
53,Cuenca,Cuenca,Cuenca,668
54,Riviera Maya,Riviera Maya,Riviera Maya,1113
55,Krakow,Kraków,Kraków,56
56,Xi'an,Xi'An,Xi'An,300266
57,Seville,Seville,Seville,1
58,Ghent,Ghent,Ghent,1200475
62,Puerto Iguazú,Puerto Iguazú,Puerto Iguazú,1200580
64,Kyoto,Kyoto,Kyoto,600000
65,Boston,Boston,Boston,300005
67,Casablanca,Casablanca,Casablanca,900008
68,Antwerp,Antwerp,Antwerp,1200160
69,Washington DC,Washington D.C.,Washington D.C.,100147
70,Los Angeles,Los Angeles,Los Angeles,300002
71,Girona,Girona,Girona,24
72,Segovia,Segovia,Segovia,291
74,Cappadocia,Yeşilhisar,Yeşilhisar,1200008
75,Bilbao,Bilbao,Bilbao,18
77,Abu Dhabi,Abu Dhabi,Abu Dhabi,600031
79,Toledo,Toledo,Toledo,21
80,Mallorca,Palma,Palma,300083
81,Córdoba,Córdoba,Córdoba,3
83,Málaga,Málaga,Málaga,4
91,Nice,Nice,Nice,220
92,Mexico City,Mexico City,Mexico City,100133
93,Cancun,Cancún,Cancún,100130
94,Naples,Naples,Naples,214
95,Alicante,Alicante,Alicante,34
96,Benidorm,Benidorm,Benidorm,1200660
97,Cairo,El Cairo,El Cairo,900010
98,Luxor,Luxor,Luxor,725
99,Aswan,Aswan,Aswan,728
100,Hurghada,Hurghada,Hurghada,1200674
101,Sharm el Sheikh,Sharm el-Sheikh,Sharm el-Sheikh,1200463
104,Chicago,Chicago,Chicago,300003
106,Bergamo,Bergamo,Bergamo,1200710
108,Rio de Janeiro,Río de Janeiro,Río de Janeiro,100116
109,Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife,754
110,Gran Canaria,Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,300079
111,Santander,Santander,Santander,20
112,Warsaw,Warsaw,Warsaw,57
113,Moscow,Moscow,Moscow,100093
114,St Petersburg,Saint Petersburg,Saint Petersburg,100094
115,Lima,Lima,Lima,300076
117,Pamplona,Pamplona,Pamplona,31
118,Cuzco,Cusco,Cusco,300075
119,Cadiz,Cádiz,Cádiz,6
120,Valencia,Valencia,Valencia,33
122,Pisa,Pisa,Pisa,100050
124,Salamanca,Salamanca,Salamanca,22
125,Punta Cana,Punta Cana,Punta Cana,300016
126,Bariloche,San Carlos de Bariloche,San Carlos de Bariloche,100120
127,Mendoza,Mendoza,Mendoza,100121
128,Puerto Madryn,Puerto Madryn,Puerto Madryn,100118
130,Ushuaia,Ushuaia,Ushuaia,100119
132,Ronda,Ronda,Ronda,521
133,Arcos de la Frontera,Arcos de la Frontera,Arcos de la Frontera,100042
134,Lanzarote,Lanzarote,Lanzarote,527
137,San Sebastián,San Sebastián,San Sebastián,17
