,destinationId,civitatis_name,final_name,english_name,city_id
0,1,Venice,Venice,Venice,213.0
1,2,Madrid,Madrid,Madrid,29.0
2,3,Prague,Prague,Prague,100054.0
3,4,Menorca,Ciutadella,Ciutadella,300078.0
4,5,London,London,London,100017.0
5,6,Marrakech,Marrakech,Marrakech,900009.0
6,7,Dublin,Dublin,Dublin,1297.0
7,8,New York,New York City,New York City,100146.0
8,9,Las Vegas,Las Vegas,Las Vegas,1200206.0
9,12,Valladolid,Valladolid,Valladolid,1342.0
10,12,Valladolid,Valladolid,Valladolid,1200307.0
11,13,Bangkok,Bangkok,Bangkok,600026.0
12,14,Budapest,Budapest,Budapest,281.0
14,16,Paris,Paris,Paris,100095.0
15,17,Lisbon,Lisbon,Lisbon,100078.0
16,18,Dubai,Dubai,Dubai,600032.0
17,19,Rome,Rome,Rome,212.0
18,20,Florence,Florence,Florence,100047.0
19,21,Istanbul,Istanbul,Istanbul,600009.0
21,23,Amsterdam,Amsterdam,Amsterdam,100026.0
22,24,Tokyo,Tokyo City,Tokyo City,600002.0
23,25,Porto,Porto,Porto,100073.0
24,26,San Francisco,San Francisco,San Francisco,300007.0
25,27,Miami,Miami,Miami,300010.0
26,28,Brussels,Brussels,Brussels,300012.0
27,29,Vienna,Vienna,Vienna,100085.0
28,30,Berlin,Berlin,Berlin,100097.0
29,31,Edinburgh,Edinburgh,Edinburgh,100010.0
30,32,Fez,Fès,Fès,1035.0
31,33,Athens,Athens,Athens,100067.0
32,35,Barcelona,Barcelona,Barcelona,23.0
34,40,Milan,Milan,Milan,898.0
35,42,Beijing,Beijing,Beijing,60148.0
36,43,Shanghai,Shanghai,Shanghai,60149.0
38,46,Oslo,Oslo,Oslo,1200294.0
39,47,Bucharest,Bucharest,Bucharest,1200313.0
40,48,Buenos Aires,Buenos Aires,Buenos Aires,100123.0
41,49,Ibiza,Ibiza,,
42,50,Munich,Munich,Munich,224.0
43,51,Bruges,Bruges,Bruges,1200152.0
44,52,Granada,Granada,Granada,2.0
45,52,Granada,Granada,Granada,988.0
46,53,Cuenca,Cuenca,Cuenca,668.0
47,54,Riviera Maya,Riviera Maya,Riviera Maya,1113.0
48,55,Krakow,Kraków,Kraków,56.0
49,56,Xi'an,Xi'An,Xi'An,300266.0
50,57,Seville,Seville,Seville,1.0
51,58,Ghent,Ghent,Ghent,1200475.0
53,62,Puerto Iguazú,Puerto Iguazú,Puerto Iguazú,1200580.0
55,64,Kyoto,Kyoto,Kyoto,600000.0
56,65,Boston,Boston,Boston,300005.0
58,67,Casablanca,Casablanca,Casablanca,900008.0
59,68,Antwerp,Antwerp,Antwerp,1200160.0
60,69,Washington DC,Washington D.C.,Washington D.C.,100147.0
61,70,Los Angeles,Los Angeles,Los Angeles,300002.0
62,71,Girona,Girona,Girona,24.0
63,72,Segovia,Segovia,Segovia,291.0
64,74,Cappadocia,Yeşilhisar,Yeşilhisar,1200008.0
65,75,Bilbao,Bilbao,Bilbao,18.0
66,77,Abu Dhabi,Abu Dhabi,Abu Dhabi,600031.0
68,79,Toledo,Toledo,Toledo,21.0
69,79,Toledo,Toledo,Toledo,1200326.0
70,80,Mallorca,Palma,Palma,300083.0
71,81,Córdoba,Córdoba,Córdoba,3.0
72,81,Córdoba,Córdoba,Córdoba,1060.0
74,83,Málaga,Málaga,Málaga,4.0
82,91,Nice,Nice,Nice,220.0
83,92,Mexico City,Mexico City,Mexico City,100133.0
84,93,Cancun,Cancún,Cancún,100130.0
85,94,Naples,Naples,Naples,214.0
86,95,Alicante,Alicante,Alicante,34.0
87,96,Benidorm,Benidorm,Benidorm,1200660.0
88,97,Cairo,El Cairo,El Cairo,900010.0
89,98,Luxor,Luxor,Luxor,725.0
90,99,Aswan,Aswan,Aswan,728.0
91,100,Hurghada,Hurghada,Hurghada,1200674.0
