,destinationId,civitatis_name,counter,first_best,second_best,third_best
0,1,Venice,0,Venice,Vic,Venhuizen
1,2,Madrid,1,Madrid,Mérida,Mérida
2,3,Prague,2,Prague,Page,Pirque
3,4,Menorca,3,Mendoza,Lorca,Glenorchy
4,5,London,4,London,Condado,Lyon
5,6,Marrakech,5,Marrakech,Marken,
6,7,Dublin,6,Dublin,Dubai,Duingt
7,8,New York,7,New York City,York,
8,9,Las Vegas,8,Las Vegas,La Vega,Las Galeras
9,12,Valladolid,9,Valladolid,Valladolid,Nalladai
10,13,Bangkok,10,Bangkok,Sanok,Hanko
11,14,Budapest,11,Budapest,Bucharest,Budva
12,15,Hong Kong,12,Pong Yaeng,,
13,16,Paris,13,Paris,Pardiñas,Paradise
14,17,Lisbon,14,Lisbon,Livingston,Sispony
15,18,Dubai,15,Dubai,Mumbai,Dublin
16,19,Rome,16,Rome,Nome,Roses
17,20,Florence,17,Florence,Flores,Glencoe
18,21,Istanbul,18,Istanbul,Kabul,
19,22,Singapore,19,Singakerta,Siangan,Pingyao
20,23,Amsterdam,20,Amsterdam,Rotterdam,Amposta
21,24,Tokyo,21,Toro,Tokyo City,Mokpo
22,25,Porto,22,Porto,Portimão,Loreto
23,26,San Francisco,23,San Francisco,Sant Francesc,Sant Ferran
24,27,Miami,24,Miami,Michamvi,Miami Beach
25,28,Brussels,25,Brussels,Bruges,Bassella
26,29,Vienna,26,Vienna,Siena,Verona
27,30,Berlin,27,Berlin,Bern,Brienz
28,31,Edinburgh,28,Edinburgh,,
29,32,Fez,29,Foz,Fet,
30,33,Athens,30,Athens,Aachen,Ansa
31,35,Barcelona,31,Barcelona,Bargemon,Badalona
32,36,Maldives,32,Saldes,Madison,Valdivia
33,40,Milan,33,Milan,Pilani,Manila
34,42,Beijing,34,Beijing,Beng,Diqing
35,43,Shanghai,35,Shanghai,Changi,Schwangau
36,44,Bali,36,Bangli,Bari,Bandoli
37,46,Oslo,37,Oslo,Olot,Osorno
38,47,Bucharest,38,Bucharest,Budapest,Charleston
39,48,Buenos Aires,39,Buenos Aires,Benares,
40,49,Ibiza,40,Ibiza,Yaiza,Xàbia
41,50,Munich,41,Munich,Funchal,
42,51,Bruges,42,Bruges,Berge,Burgos
43,52,Granada,43,Granada,Granada,Granadilla
44,53,Cuenca,44,Cuenca,Quena,Huesca
45,54,Riviera Maya,45,Riviera Maya,Riviera Nayarit,
46,55,Krakow,46,Kraków,Kirkop,Karakoumi
47,56,Xi'an,47,Xi'An,Tai'an,Xàbia
48,57,Seville,48,Seville,Asheville,Serravalle
49,58,Ghent,49,Ghent,,
50,61,Civitavecchia,50,,,
51,62,Puerto Iguazú,51,Puerto Iguazú,Puerto Guadal,Puerto Aventura
52,63,El Calafate,52,El Chalten,El Salto,El Tarter
53,64,Kyoto,53,Kyoto,Kotor,Kolo
54,65,Boston,54,Boston,Broto,Bristol
55,66,Bratislava,55,Brasília,,
56,67,Casablanca,56,Casablanca,Playa Blanca,Salamanca
57,68,Antwerp,57,Antwerp,,
58,69,Washington DC,58,Washington D.C.,Wellington,
59,70,Los Angeles,59,Los Angeles,Anglesea,Los Llaos
60,71,Girona,60,Girona,Gżira,Girne
61,72,Segovia,61,Segovia,Soria,Sofia
62,74,Cappadocia,62,,,
63,75,Bilbao,63,Bilbao,Bijilo,Bielsa
64,77,Abu Dhabi,64,Abu Dhabi,,
65,78,Merzouga,65,Berga,,
66,79,Toledo,66,Toledo,Toledo,Tourlos
67,80,Mallorca,67,Masella,Malbork,Marbella
68,81,Córdoba,68,Córdoba,Córdoba,Cardonal
69,82,Livorno,69,Liverpool,Osorno,Loreto
70,83,Málaga,70,Málaga,Malang,
71,84,Marseille,71,Masella,Marbella,Marganell
72,85,Genoa,72,Geneva,Teno,Mendoza
